"Term Code","Term Description","Full/Part Term Description","Course CRN","Course Subject","Course Number","Course Sequence Number","Building Name","Room Number","Course Start Time","Course End Time","Course Start Date","Course End Date","Sunday Indicator","Monday Indicator","Tuesday Indicator","Wednesday Indicator","Thursday Indicator","Friday Indicator","Saturday Indicator","Course Maximum Enrollment","Course Enrollment"
"201910","Fall 2018","Full Term","10830","MG","491","01","KELLER","133","0930","1045",22-AUG-18,12-DEC-18,"","","T","","R","","",64,49
"201910","Fall 2018","Full Term","10854","MG","640","01","KELLER","133","1500","1700",22-AUG-18,12-DEC-18,"","","","W","","","",30,7
"201910","Fall 2018","Full Term","10863","MK","498","01","RABURN","110","0930","1045",22-AUG-18,12-DEC-18,"","","T","","R","","",44,25
"201910","Fall 2018","Full Term","10870","EC","251","01","KELLER","333","0930","1045",22-AUG-18,12-DEC-18,"","","T","","R","","",48,47
"201910","Fall 2018","Full Term","10871","EC","251","02","KELLER","333","1330","1445",22-AUG-18,12-DEC-18,"","M","","W","","","",48,20
"201910","Fall 2018","Full Term","10872","EC","251","03","KELLER","333","1100","1215",22-AUG-18,12-DEC-18,"","","T","","R","","",64,45
"201910","Fall 2018","Full Term","10873","EC","251","04","KELLER","333","1400","1515",22-AUG-18,12-DEC-18,"","","T","","R","","",48,36
"201910","Fall 2018","Full Term","10875","EC","252","01","KELLER","222","1100","1215",22-AUG-18,12-DEC-18,"","","T","","R","","",40,27
"201910","Fall 2018","Full Term","10876","EC","252","02","KELLER","133","1000","1050",22-AUG-18,12-DEC-18,"","M","","W","","F","",64,33
"201910","Fall 2018","Full Term","10877","EC","252","03","KELLER","227","0930","1045",22-AUG-18,12-DEC-18,"","","T","","R","","",32,31
"201910","Fall 2018","Full Term","10878","EC","252","04","KELLER","133","1330","1445",22-AUG-18,12-DEC-18,"","M","","W","","","",64,27
"201910","Fall 2018","Full Term","10879","EC","340","01","KELLER","333","0800","0915",22-AUG-18,12-DEC-18,"","","T","","R","","",48,37
"201910","Fall 2018","Full Term","10881","EC","428","01","KELLER","227","1000","1050",22-AUG-18,12-DEC-18,"","M","","W","","F","",32,10
"201910","Fall 2018","Full Term","10888","FI","393","01","KELLER","222","0900","0950",22-AUG-18,12-DEC-18,"","M","","W","","F","",40,28
"201910","Fall 2018","Full Term","10889","FI","393","02","KELLER","222","1000","1050",22-AUG-18,12-DEC-18,"","M","","W","","F","",40,33
"201910","Fall 2018","Full Term","10890","FI","393","03","RABURN","110","1530","1645",22-AUG-18,12-DEC-18,"","","T","","R","","",44,36
"201910","Fall 2018","Full Term","10891","FI","470","01","KELLER","221","1800","2045",22-AUG-18,12-DEC-18,"","","","W","","","",10,7
"201910","Fall 2018","Full Term","10892","FI","492","01","KELLER","333","1200","1315",22-AUG-18,12-DEC-18,"","M","","W","","","",44,48
"201910","Fall 2018","Full Term","10894","QM","291","01","RABURN","110","1400","1515",22-AUG-18,12-DEC-18,"","","T","","R","","",44,34
"201910","Fall 2018","Full Term","10895","QM","291","02","RABURN","104","0800","0915",22-AUG-18,12-DEC-18,"","","T","","R","","",60,54
"201910","Fall 2018","Full Term","10896","QM","291","03","RABURN","104","0930","1045",22-AUG-18,12-DEC-18,"","","T","","R","","",61,61
"201910","Fall 2018","Full Term","10898","QM","292","01","RABURN","104","1400","1515",22-AUG-18,12-DEC-18,"","","T","","R","","",67,66
"201910","Fall 2018","Full Term","10899","QM","292","02","KELLER","133","1230","1345",22-AUG-18,12-DEC-18,"","","T","","R","","",64,62
"201910","Fall 2018","Full Term","10900","QM","292","03","RABURN","104","1800","2045",22-AUG-18,12-DEC-18,"","","","","R","","",78,14
"201910","Fall 2018","Full Term","10904","BL","240","02","KELLER","333","1000","1050",22-AUG-18,12-DEC-18,"","M","","W","","","",48,48
"201910","Fall 2018","Full Term","10908","BL","240","04","KELLER","122","0800","0915",22-AUG-18,12-DEC-18,"","","T","","R","","",40,40
"201910","Fall 2018","Full Term","13184","MG","345","01","RABURN","109","1100","1150",22-AUG-18,12-DEC-18,"","","","W","","","",30,13
"201910","Fall 2018","Full Term","13559","AC","291","01","RABURN","104","0900","0950",22-AUG-18,12-DEC-18,"","M","","W","","F","",51,51
"201910","Fall 2018","Full Term","13560","AC","291","02","RABURN","104","1000","1050",22-AUG-18,12-DEC-18,"","M","","W","","F","",50,49
"201910","Fall 2018","Full Term","13562","AC","291","04","KELLER","122","1100","1215",22-AUG-18,12-DEC-18,"","","T","","R","","",39,39
"201910","Fall 2018","Full Term","13563","AC","292","01","RABURN","104","1200","1315",22-AUG-18,12-DEC-18,"","M","","W","","","",56,56
"201910","Fall 2018","Full Term","13565","AC","292","02","RABURN","104","1100","1215",22-AUG-18,12-DEC-18,"","","T","","R","","",53,53
"201910","Fall 2018","Full Term","13567","AC","391","01","RABURN","104","1230","1345",22-AUG-18,12-DEC-18,"","","T","","R","","",65,56
"201910","Fall 2018","Full Term","13568","AC","392","01","KELLER","322","1230","1345",22-AUG-18,12-DEC-18,"","","T","","R","","",40,25
"201910","Fall 2018","Full Term","13569","AC","471","01","RABURN","109","0930","1045",22-AUG-18,12-DEC-18,"","","T","","R","","",40,38
"201910","Fall 2018","Full Term","13570","AC","495","01","KELLER","322","0800","0915",22-AUG-18,12-DEC-18,"","","T","","R","","",40,14
"201910","Fall 2018","Full Term","13571","AC","473","01","KELLER","322","1100","1215",22-AUG-18,12-DEC-18,"","","T","","R","","",40,33
"201910","Fall 2018","Full Term","14954","CIS","444","01","RABURN","210","1330","1445",22-AUG-18,12-DEC-18,"","M","","W","","","",24,5
"201910","Fall 2018","Full Term","14658","CIS","344","01","RABURN","206","0930","1045",22-AUG-18,12-DEC-18,"","M","","W","","","",30,18
"201910","Fall 2018","Full Term","10708","CIS","125","08","RABURN","211","1100","1215",22-AUG-18,12-DEC-18,"","","T","","","","",30,30
"201910","Fall 2018","Full Term","11108","EC","425","01","KELLER","227","1100","1215",22-AUG-18,12-DEC-18,"","","T","","R","","",32,10
"201910","Fall 2018","Full Term","13612","MG","305","01","RABURN","211","1100","1150",22-AUG-18,12-DEC-18,"","M","","","","","",30,30
"201910","Fall 2018","Full Term","14715","FYE","101","31","KELLER","320","1000","1050",22-AUG-18,12-DEC-18,"","","","W","","","",25,11
"201910","Fall 2018","Full Term","11306","MG","331","01","KELLER","220","0930","1045",22-AUG-18,12-DEC-18,"","","","","R","","",36,35
"201910","Fall 2018","Full Term","14372","MG","395","01","KELLER","122","1230","1345",22-AUG-18,12-DEC-18,"","M","","W","","","",40,16
"201910","Fall 2018","Full Term","14379","CIS","289","01","KELLER","234","1230","1345",22-AUG-18,12-DEC-18,"","","T","","R","","",24,24
"201910","Fall 2018","Full Term","14397","MK","462","01","RABURN","109","1000","1050",22-AUG-18,12-DEC-18,"","M","","W","","","",40,25
"201910","Fall 2018","Full Term","14398","MK","465","01","RABURN","109","1100","1150",22-AUG-18,12-DEC-18,"","M","","","","","",40,16
"201910","Fall 2018","Full Term","10845","MG","498","02","KELLER","220","1200","1315",22-AUG-18,12-DEC-18,"","","","W","","","",60,30
"201910","Fall 2018","Full Term","13970","CS","311","01","RABURN","109","1800","1915",22-AUG-18,12-DEC-18,"","","T","","R","","",30,14
"201910","Fall 2018","Full Term","13993","CS","135","01","RABURN","206","1200","1315",22-AUG-18,12-DEC-18,"","M","","W","","","",30,29
"201910","Fall 2018","Full Term","13994","CS","135","02","RABURN","206","1330","1445",22-AUG-18,12-DEC-18,"","M","","W","","","",30,25
"201910","Fall 2018","Full Term","14743","CS","135","04","RABURN","206","1400","1515",22-AUG-18,12-DEC-18,"","","T","","R","","",30,30
"201910","Fall 2018","Full Term","15546","CIS","476","01","RABURN","210","1500","1745",22-AUG-18,12-DEC-18,"","M","","","","","",24,14
"201910","Fall 2018","Full Term","14284","PRS","607","01","KELLER","327","1800","2045",22-AUG-18,12-DEC-18,"","","","W","","","",30,1
"201910","Fall 2018","First Half Term","15307","MG","602","01","KELLER","227","1100","1300",22-AUG-18,12-OCT-18,"","M","","","","","",30,11
"201910","Fall 2018","Second Half Term","15600","AC","642","01","KELLER","320","1300","1500",15-OCT-18,12-DEC-18,"","","T","","","","",30,8
"201910","Fall 2018","First Half Term","15549","CIS","622","01","RABURN","210","1530","1730",22-AUG-18,12-OCT-18,"","","T","","","","",24,17
"201910","Fall 2018","Full Term","11949","MG","362","01","KELLER","220","0930","1045",22-AUG-18,12-DEC-18,"","","T","","","","",36,30
"201910","Fall 2018","Full Term","11950","MG","371","01","KELLER","122","1800","2045",22-AUG-18,12-DEC-18,"","","","W","","","",25,9
"201910","Fall 2018","Full Term","11951","MG","382W","01","RABURN","110","1230","1345",22-AUG-18,12-DEC-18,"","","T","","R","","",42,42
"201910","Fall 2018","Full Term","11952","MG","382W","02","KELLER","133","1200","1315",22-AUG-18,12-DEC-18,"","M","","W","","","",64,44
"201910","Fall 2018","Full Term","15604","AC","292","03","KELLER","322","1800","2045",22-AUG-18,12-DEC-18,"","","","","R","","",30,17
"201910","Fall 2018","Full Term","13566","AC","291","05","KELLER","322","1800","2045",22-AUG-18,12-DEC-18,"","","T","","","","",35,14
"201910","Fall 2018","Full Term","14029","AC","630","01","KELLER","320","1800","1950",22-AUG-18,12-DEC-18,"","","","","R","","",30,5
"201910","Fall 2018","Full Term","10486","CS","155","01","RABURN","206","0800","0915",22-AUG-18,12-DEC-18,"","","T","","R","","",30,24
"201910","Fall 2018","Full Term","10487","CS","155","02","RABURN","206","0930","1045",22-AUG-18,12-DEC-18,"","","T","","R","","",30,29
"201910","Fall 2018","Full Term","10488","CS","255","01","RABURN","206","1230","1345",22-AUG-18,12-DEC-18,"","","T","","R","","",30,27
"201910","Fall 2018","Full Term","10491","CS","355","01","RABURN","206","1100","1215",22-AUG-18,12-DEC-18,"","","T","","R","","",30,15
"201910","Fall 2018","Full Term","10492","CS","420","01","RABURN","109","1230","1345",22-AUG-18,12-DEC-18,"","","T","","R","","",30,17
"201910","Fall 2018","Full Term","15612","AC","674","01","KELLER","320","1800","2045",22-AUG-18,12-DEC-18,"","","","W","","","",30,4
"201910","Fall 2018","Full Term","14378","AC","675","01","KELLER","320","1800","2045",22-AUG-18,12-DEC-18,"","","T","","","","",30,7
"201910","Fall 2018","First Half Term","15615","EMB","682","01","KELLER","327","1300","1500",22-AUG-18,12-OCT-18,"","","","W","","","",30,23
"201910","Fall 2018","Full Term","12618","MG","485","01","KELLER","333","1230","1345",22-AUG-18,12-DEC-18,"","","T","","R","","",48,39
"201910","Fall 2018","Full Term","12674","CIS","236","02","RABURN","211","0800","0915",22-AUG-18,12-DEC-18,"","","T","","R","","",30,26
"201910","Fall 2018","Full Term","12719","MG","494","01","KELLER","120","1700","1900",22-AUG-18,12-DEC-18,"","M","","","","","",20,9
"201910","Fall 2018","Full Term","12824","CIS","236","03","RABURN","211","1400","1515",22-AUG-18,12-DEC-18,"","","T","","","","",30,28
"201910","Fall 2018","Full Term","10695","CIS","125","01","RABURN","211","0800","0850",22-AUG-18,12-DEC-18,"","M","","W","","F","",30,29
"201910","Fall 2018","Full Term","10697","CIS","125","02","RABURN","211","0900","0950",22-AUG-18,12-DEC-18,"","M","","W","","F","",30,30
"201910","Fall 2018","Full Term","10699","CIS","125","03","RABURN","211","1000","1050",22-AUG-18,12-DEC-18,"","M","","W","","F","",30,30
"201910","Fall 2018","Full Term","10702","CIS","125","04","RABURN","211","1200","1315",22-AUG-18,12-DEC-18,"","M","","","","","",30,29
"201910","Fall 2018","Full Term","10705","CIS","125","05","RABURN","211","1330","1445",22-AUG-18,12-DEC-18,"","M","","","","","",30,30
"201910","Fall 2018","Full Term","10706","CIS","125","06","RABURN","211","1200","1315",22-AUG-18,12-DEC-18,"","","","W","","","",30,30
"201910","Fall 2018","Full Term","10710","CIS","125","09","RABURN","211","1230","1345",22-AUG-18,12-DEC-18,"","","T","","","","",30,30
